subspecies;island;site_name;subject_group;image_name;subject_id;workflow_id;task;reducer;data.aggregation_version;blurry;presence_no;presence_yes;presence_absence_exp
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_100.jpg;47967838;14370;T0;question_reducer;4.0.0;3;16;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_103.jpg;47967843;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_104.jpg;47967846;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_105.jpg;47967848;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_106.jpg;47967851;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_107.jpg;47967855;14370;T0;question_reducer;4.0.0;4;16;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_108.jpg;47967857;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_109.jpg;47967860;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_110.jpg;47967864;14370;T0;question_reducer;4.0.0;4;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_111.jpg;47967867;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_112.jpg;47967870;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_113.jpg;47967873;14370;T0;question_reducer;4.0.0;3;16;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_114.jpg;47967876;14370;T0;question_reducer;4.0.0;1;8;11;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_115.jpg;47967879;14370;T0;question_reducer;4.0.0;4;16;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_116.jpg;47967882;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_117.jpg;47967885;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_118.jpg;47967888;14370;T0;question_reducer;4.0.0;0;20;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_119.jpg;47967890;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_120.jpg;47967893;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_122.jpg;47967895;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_123.jpg;47967898;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_124.jpg;47967900;14370;T0;question_reducer;4.0.0;4;16;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_125.jpg;47967902;14370;T0;question_reducer;4.0.0;4;14;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_126.jpg;47967904;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_127.jpg;47967906;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_128.jpg;47967908;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_129.jpg;47967911;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_130.jpg;47967912;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_131.jpg;47967914;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_132.jpg;47967916;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_133.jpg;47967918;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_134.jpg;47967920;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_135.jpg;47967922;14370;T0;question_reducer;4.0.0;4;16;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_136.jpg;47967924;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_137.jpg;47967926;14370;T0;question_reducer;4.0.0;2;16;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_138.jpg;47967928;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_139.jpg;47967930;14370;T0;question_reducer;4.0.0;5;14;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_140.jpg;47967932;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_142.jpg;47967934;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_143.jpg;47967937;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_144.jpg;47967940;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_145.jpg;47967941;14370;T0;question_reducer;4.0.0;5;13;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_146.jpg;47967943;14370;T0;question_reducer;4.0.0;3;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_147.jpg;47967945;14370;T0;question_reducer;4.0.0;7;13;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_148.jpg;47967947;14370;T0;question_reducer;4.0.0;5;15;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_149.jpg;47967949;14370;T0;question_reducer;4.0.0;4;14;2;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_150.jpg;47967951;14370;T0;question_reducer;4.0.0;2;18;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_151.jpg;47967953;14370;T0;question_reducer;4.0.0;2;16;3;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_152.jpg;47967955;14370;T0;question_reducer;4.0.0;1;18;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_153.jpg;47967957;14370;T0;question_reducer;4.0.0;1;19;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_154.jpg;47967959;14370;T0;question_reducer;4.0.0;2;6;12;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_155.jpg;47967961;14370;T0;question_reducer;4.0.0;3;12;5;Y
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_156.jpg;47967963;14370;T0;question_reducer;4.0.0;3;17;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_157.jpg;47967965;14370;T0;question_reducer;4.0.0;4;15;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_158.jpg;47967967;14370;T0;question_reducer;4.0.0;0;19;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_159.jpg;47967969;14370;T0;question_reducer;4.0.0;2;17;1;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_160.jpg;47967971;14370;T0;question_reducer;4.0.0;0;20;0;N
A. c. trillmichi;Santa Fe;El Miedo;SFM1;SFM01-1-1_162.jpg;47967973;14370;T0;question_reducer;4.0.0;2;17;1;N
