subspecies;island;site_name;subject_group;image_name;subject_id;workflow_id;task;reducer;data.aggregation_version;presence_no;presence_yes;presence_absence_exp
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI01-1-2_120.jpg;72332801;20600;T0;question_reducer;4.0.0;23;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI01-1-2_121.jpg;72332802;20600;T0;question_reducer;4.0.0;19;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI01-2-2_116.jpg;72332876;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI02-2_114.jpg;72332972;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI02-2_36.jpg;72332999;20600;T0;question_reducer;4.0.0;19;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI02-2_55.jpg;72333006;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI02-2_87.jpg;72333021;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI03_48.jpg;72333060;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI03-2-1_35.jpg;72333108;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI03-2-2_29.jpg;72333161;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI04-1_141.jpg;72333244;20600;T0;question_reducer;4.0.0;0;23;Y
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI04-2_106.jpg;72333316;20600;T0;question_reducer;4.0.0;21;2;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI06-2_61.jpg;72333547;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI08-1_83.jpg;72333734;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI08-2_78.jpg;72333835;20600;T0;question_reducer;4.0.0;10;12;Y
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-1_142.jpg;72333880;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-1_153.jpg;72333891;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-1_326.jpg;72334007;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-2_175.jpg;72334078;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-2_488.jpg;72334220;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-3_157.jpg;72334265;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI09-3_348.jpg;72334346;20600;T0;question_reducer;4.0.0;19;3;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-1_146.jpg;72334424;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-1_277.jpg;72334465;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-1_320.jpg;72334495;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-2_114.jpg;72334531;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-2_63.jpg;72334600;20600;T0;question_reducer;4.0.0;22;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-2_76.jpg;72334605;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-3_255.jpg;72334654;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI10-3_52.jpg;72334674;20600;T0;question_reducer;4.0.0;18;2;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI11-1_219.jpg;72334727;20600;T0;question_reducer;4.0.0;18;3;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI11-2_395.jpg;72334972;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EGI11-2_67.jpg;72335070;20600;T0;question_reducer;4.0.0;22;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EIG05-1_84.jpg;72335125;20600;T0;question_reducer;4.0.0;22;1;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EPGI07-1_263.jpg;72335251;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EPGI07-1_37.jpg;72335266;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EPGI07-1_73.jpg;72335285;20600;T0;question_reducer;4.0.0;19;2;N
A. c. venustissimus;Espa–ola;Gardner Islet;Gardner Islet;EPGI07-2_08.jpg;72335303;20600;T0;question_reducer;4.0.0;20;1;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS01_28.jpg;72335422;20600;T0;question_reducer;4.0.0;14;8;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS01_41.jpg;72335435;20600;T0;question_reducer;4.0.0;5;17;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS02_108.jpg;72335473;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS02_208.jpg;72335541;20600;T0;question_reducer;4.0.0;1;21;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS02_38.jpg;72335546;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS02_55.jpg;72335554;20600;T0;question_reducer;4.0.0;21;0;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS03_24.jpg;72335585;20600;T0;question_reducer;4.0.0;21;1;N
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS03_35.jpg;72335594;20600;T0;question_reducer;4.0.0;4;18;Y
A. c. venustissimus;Espa–ola;Punta Suarez;Punta Suarez;EPS03_70.jpg;72335629;20600;T0;question_reducer;4.0.0;0;22;Y
