subspecies;island;site_name;subject_group;image_name;subject_id;workflow_id;task;reducer;data.aggregation_version;presence_yes;presence_no;presence_absence_exp
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_100.jpg;78921849;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_102.jpg;78921851;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_105.jpg;78921852;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_114.jpg;78921862;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_117.jpg;78921865;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_124.jpg;78921870;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_150.jpg;78921893;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_92.jpg;78921969;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-1_99.jpg;78921976;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_105.jpg;78921982;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_126.jpg;78922003;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_134.jpg;78922011;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_137.jpg;78922014;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_147.jpg;78922024;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_151.jpg;78922028;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_152.jpg;78922029;22040;T0;question_reducer;4.0.0;14;17;Y
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_168.jpg;78922045;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_186.jpg;78922064;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_194.jpg;78922071;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_213.jpg;78922085;22040;T0;question_reducer;4.0.0;1;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_228.jpg;78922093;22040;T0;question_reducer;4.0.0;7;24;Y
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_68.jpg;78922110;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_90.jpg;78922132;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-2_97.jpg;78922139;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_100.jpg;78922143;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_164.jpg;78922197;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_177.jpg;78922202;22040;T0;question_reducer;4.0.0;2;29;Y
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_191.jpg;78922205;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_53.jpg;78922221;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_59.jpg;78922224;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_60.jpg;78922225;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_63.jpg;78922228;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB01-3_77.jpg;78922242;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_113.jpg;78922272;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_117.jpg;78922276;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_133.jpg;78922282;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_134.jpg;78922283;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_201.jpg;78922331;22040;T0;question_reducer;4.0.0;0;31;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_229.jpg;78922349;22040;T0;question_reducer;4.0.0;1;30;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_234.jpg;78922354;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_249.jpg;78922359;22040;T0;question_reducer;4.0.0;2;29;N
A. c. nanus;Genovesa;EastB;EGB;GEB02-1_276.jpg;78922375;22040;T0;question_reducer;4.0.0;0;31;N
