phase;Island;site_name;image_name;subject_id;expert_count;median_count_up;mode_max_count;dbscan_count_sil;hdbscan_count;data.no;data.yes;quality
1st;Santa Fe;El Miedo;SFM01-1-1_100.jpg;47967838;0;0;0;0;0;16;1;
1st;Santa Fe;El Miedo;SFM01-1-1_103.jpg;47967843;0;0;0;0;0;19;1;
1st;Santa Fe;El Miedo;SFM01-1-1_104.jpg;47967846;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_105.jpg;47967848;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_106.jpg;47967851;0;0;0;0;0;19;0;
1st;Santa Fe;El Miedo;SFM01-1-1_107.jpg;47967855;0;0;0;0;0;16;0;
1st;Santa Fe;El Miedo;SFM01-1-1_108.jpg;47967857;0;0;0;0;0;17;0;
1st;Santa Fe;El Miedo;SFM01-1-1_109.jpg;47967860;0;0;0;0;0;17;0;
1st;Santa Fe;El Miedo;SFM01-1-1_110.jpg;47967864;0;0;0;0;0;17;0;
1st;Santa Fe;El Miedo;SFM01-1-1_111.jpg;47967867;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_112.jpg;47967870;0;0;0;0;0;15;0;
1st;Santa Fe;El Miedo;SFM01-1-1_113.jpg;47967873;0;0;0;0;0;16;1;
1st;Santa Fe;El Miedo;SFM01-1-1_114.jpg;47967876;1;1;1;1;1;8;11;Bad
1st;Santa Fe;El Miedo;SFM01-1-1_115.jpg;47967879;0;0;0;0;0;16;0;
1st;Santa Fe;El Miedo;SFM01-1-1_116.jpg;47967882;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_117.jpg;47967885;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_118.jpg;47967888;0;0;0;0;0;20;1;
1st;Santa Fe;El Miedo;SFM01-1-1_119.jpg;47967890;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_120.jpg;47967893;0;0;0;0;0;19;1;
1st;Santa Fe;El Miedo;SFM01-1-1_122.jpg;47967895;0;0;0;0;0;19;0;
1st;Santa Fe;El Miedo;SFM01-1-1_123.jpg;47967898;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_124.jpg;47967900;0;0;0;0;0;16;0;
1st;Santa Fe;El Miedo;SFM01-1-1_125.jpg;47967902;0;0;0;0;0;14;2;
1st;Santa Fe;El Miedo;SFM01-1-1_126.jpg;47967904;0;0;0;0;0;19;1;
1st;Santa Fe;El Miedo;SFM01-1-1_127.jpg;47967906;0;0;0;0;0;17;0;
1st;Santa Fe;El Miedo;SFM01-1-1_128.jpg;47967908;0;0;0;0;0;17;0;
1st;Santa Fe;El Miedo;SFM01-1-1_129.jpg;47967911;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_130.jpg;47967912;0;0;0;0;0;15;0;
1st;Santa Fe;El Miedo;SFM01-1-1_131.jpg;47967914;0;0;0;0;0;19;0;
1st;Santa Fe;El Miedo;SFM01-1-1_132.jpg;47967916;0;0;0;0;0;17;1;
1st;Santa Fe;El Miedo;SFM01-1-1_133.jpg;47967918;0;0;0;0;0;15;0;
1st;Santa Fe;El Miedo;SFM01-1-1_134.jpg;47967920;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_135.jpg;47967922;0;0;0;0;0;16;0;
1st;Santa Fe;El Miedo;SFM01-1-1_136.jpg;47967924;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_137.jpg;47967926;0;0;0;0;0;16;2;
1st;Santa Fe;El Miedo;SFM01-1-1_138.jpg;47967928;0;0;0;0;0;15;1;
1st;Santa Fe;El Miedo;SFM01-1-1_139.jpg;47967930;0;0;0;0;0;14;1;
1st;Santa Fe;El Miedo;SFM01-1-1_140.jpg;47967932;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_142.jpg;47967934;0;0;0;0;0;18;1;
1st;Santa Fe;El Miedo;SFM01-1-1_143.jpg;47967937;0;0;0;0;0;20;0;
1st;Santa Fe;El Miedo;SFM01-1-1_144.jpg;47967940;0;0;0;0;0;15;0;
1st;Santa Fe;El Miedo;SFM01-1-1_145.jpg;47967941;0;0;0;0;0;13;2;
1st;Santa Fe;El Miedo;SFM01-1-1_146.jpg;47967943;0;0;0;0;0;18;0;
1st;Santa Fe;El Miedo;SFM01-1-1_147.jpg;47967945;0;0;0;0;0;13;0;
1st;Santa Fe;El Miedo;SFM01-1-1_148.jpg;47967947;0;0;0;0;0;15;0;
1st;Santa Fe;El Miedo;SFM01-1-1_149.jpg;47967949;0;0;0;0;0;14;2;
1st;Santa Fe;El Miedo;SFM01-1-1_150.jpg;47967951;0;0;0;0;0;18;0;
